id,escola_posto,tipo,logradouro,numero,bairro,subprefeitura,quantidade,latitude,longitude
178,CIEP HENFIL,CIEP,RUA CARLOS SEIDL,S/N,CAJU,CENTRO,20,-22.88089,-43.22533
634,EM ALICE DO AMARAL PEIXOTO,EM,RUA EBANO,187,BENFICA,CENTRO,121,-22.88957,-43.2362
600,EM URUGUAI,EM,RUA ANA NERI,192,BENFICA,CENTRO,591,-22.89849,-43.23776
476,EM FLORIANO PEIXOTO,EM,PRACA ARGENTINA,20,SAO CRISTOVAO,CENTRO,190,-22.89763,-43.22746
280,EM GENERAL HUMBERTO DE SOUZA MELLO,EM,RUA OITO DE DEZEMBRO,275,MARACANA/ VILA ISABEL,GRANDE TIJUCA,491,-22.90982,-43.23939
060,EM BARAO HOMEM DE MELO,EM,RUA ALMIRANTE JOAO CANDIDO BRASIL,352,MARACANA/ TIJUCA,GRANDE TIJUCA,311,-22.91683,-43.23692
011,CIEP SAMUEL WEINER,CIEP,AVENIDAHEITOR BELTRAO,S/N,TIJUCA,GRANDE TIJUCA,445,-22.92127,-43.228
361,EM PRUDENTE DE MORAES,EM,RUA ENES DE SOUSA,36,TIJUCA,GRANDE TIJUCA,63,-22.92906,-43.23287
163,EM LAUDIMIA TROTTA,EM,RUA ANTONIO BASILIO,370,TIJUCA,GRANDE TIJUCA,576,-22.92684,-43.23789
180,EM EQUADOR,EM,BOULEVARD 28 DE SETEMBRO,353,VILA ISABEL,GRANDE TIJUCA,185,-22.91615,-43.24705
226,EM AFRANIO PEIXOTO,EM,RUA FERREIRA PONTES,328,ANDARAI,GRANDE TIJUCA,164,-22.92686,-43.25491
126,EM DUQUE DE CAXIAS,EM,RUA MARECHAL JOFRE,74,GRAJAU,GRANDE TIJUCA,399,-22.91854,-43.26509
157,EM  SARMIENTO,EM,RUA VINTE QUATRO DE MAIO,931,ENGENHO NOVO,ZONA NORTE,350,-22.90303,-43.26788
117,CIEP CHANCELER WILLY BRANDT,CIEP,RUA ALVARO SEIXAS,S/N,JACARE,ZONA NORTE,457,-22.89418,-43.26385
259,EM PERNAMBUCO,EM,RUA CONDE DE AZAMBUJA,579,MARIA DA GRACA,ZONA NORTE,158,-22.88418,-43.26262
351,CIEP VINICIUS DE MORAES,CIEP,AVENIDA DOM HELDER CAMARA,1715,JACARE,ZONA NORTE,489,-22.88532,-43.2541
422,EM ALBINO SOUZA CRUZ,EM,AVENIDA DOS DEMOCRATICOS,268,MANGUINHOS,ZONA NORTE,123,-22.88099,-43.25325
260,EM PROFESSOR JOSUE DE CASTRO,EM,AVENIDA BRASIL,4040,BONSUCESSO,ZONA NORTE,397,-22.87374,-43.24071
118,CIEP ELIS REGINA,CIEP,RUA PRINCIPAL,S/N,BONSUCESSO,ZONA NORTE,210,-22.85783,-43.24045
121,EM DILERMANDO CRUZ,EM,AVENIDA TEIXEIRA DE CASTRO,407,RAMOS,ZONA NORTE,167,-22.85387,-43.25245
140,EM PEDRO LESSA,EM,RUA ADAIL,49,BONSUCESSO,ZONA NORTE,153,-22.86047,-43.25428
263,EM PADRE MANUEL DE NOBREGA,EM,PRACA ELBA,1215,VIGARIO GERAL,ZONA NORTE,292,-22.85714,-43.26416
498,EM CHILE,EM,PRACA BELMONTE,15,OLARIA,ZONA NORTE,61,-22.84858,-43.26859
230,EM BERLIM,EM,PRACA RAMOS FIGUEIRA,20,OLARIA,ZONA NORTE,24,-22.84779,-43.26144
663,EM CIENTISTA MARIO KROEFF,EM,RUA DO COUTO,91,PENHA,ZONA NORTE,426,-22.83896,-43.27517
146,EM BERNARDO VASCONCELOS,EM,PRACA SANTA ROSALIA,100,PENHA,ZONA NORTE,151,-22.84563,-43.28401
566,EM BRANT HORTA,EM,RUA BENTO CARDOSO,130,PENHA CIRCULAR,ZONA NORTE,564,-22.83567,-43.28816
161,EM JOAO DE DEUS,EM,PRACA ALMEIDA GARRET,S/N,PENHA CIRCULAR,ZONA NORTE,509,-22.82995,-43.28211
